,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2813,sz.000570,苏常柴A,0.0438,774218489.69,43.8695929266,42.1616,24571254.83,1649.72,82.2974,4.321707262847,1.07,-0.32862990683,14.8974833598,机械行业,2021-04-28
2814,sz.000563,陕国投A,0.0436,347846593.63,-14.9408650285,-38.956,172831589.63,-17.86,17.0764,3.019132506542,1.45,0.181109607575,,券商信托,2021-04-28
2815,sz.000560,我爱我家,0.0741,2932412468.94,129.7715688198,3.8523,172003145.75,205.3,153.2462,4.438311856178,1.66,0.096400457976,28.815816208,房地产,2021-04-28
2816,sz.000557,西部创业,0.0406,273894541.2,35.2447508182,-8.2765,59168453.17,26.49,82.9689,3.570011353131,1.14,0.055429272004,33.2754871531,交运物流,2021-04-28
2817,sz.000555,神州信息,0.042,2042023405.74,-3.8280336936,-47.9826,39109718.48,32.73,-84.783,5.691426853441,0.7,-0.673743479598,19.4887385008,电子信息,2021-04-28
2818,sz.000554,泰山石油,0.0028,615061588.26,32.2463657957,-19.5111,1370211.32,117.85,-78.5076,1.909517632213,0.16,-0.102883191638,10.5803133494,石油行业,2021-04-28
2819,sz.000551,创元科技,0.08,921690124.88,46.4308694268,0.0502,33648989.26,135.6,18.8389,4.928071266175,1.73,0.021894466189,22.191600323,专用设备,2021-04-28
2820,sz.000550,江铃汽车,0.32,8041295685.0,74.0848962397,-27.0092,277530327.0,299.54,44.4598,13.048912941634,2.49,-2.331498263467,15.9629051248,汽车行业,2021-04-28
2821,sz.000547,航天发展,0.12,945029709.4,23.0706352942,-39.3571,187520568.69,52.3,-51.8804,5.365955020803,2.2,-0.284704096608,44.2544959116,航天航空,2021-04-28
2822,sz.000539,粤电力A,-0.0094,7855944946.0,67.0104674221,5.0903,-49403428.0,-770.0491583939,-127.9286,5.220571262448,-0.18,0.133470625374,4.0468380976,电力行业,2021-04-28
2823,sz.000538,云南白药,0.6,10327715582.47,33.3753444824,17.2045,763157801.48,-40.48,-39.5831,30.535798629087,1.94,-0.10024318062,28.5089524602,医药制造,2021-04-28
2824,sz.000529,广弘控股,0.08,633852363.76,24.0769308101,-45.3725,46545026.44,7.58,-18.1046,3.401994239918,2.37,-0.193606677161,24.2453126464,食品饮料,2021-04-28
2825,sz.000520,长航凤凰,0.0063,207532868.92,34.315986987,-2.1488,6387758.66,295.16,2071.4505,0.422128286634,1.51,-0.002018489641,14.4948419335,港口水运,2021-04-28
